solver_type,solution_found,time_elapsed,max_memory_mb,avg_memory_mb,states_processed,moves,seed
gready-single-core,0,374.890894142,3444.34765625,1881.0148859797298,300000,0,0a030674bc04f1ae
gready-single-core,0,198.217319447,1502.3515625,806.4210778061224,300000,0,c656b4b78e678c04
gready-single-core,1,0.298589439,59.3984375,59.3984375,558,101,74d5166d15db5cd5
gready-single-core,1,0.110288789,59.484375,59.484375,104,96,52630f3771a759cb
gready-single-core,1,0.140526634,60.48046875,60.48046875,183,110,9457079a9971ab2e
gready-single-core,1,1.889422315,82.9140625,69.7890625,2943,118,346804c49c1a30e1
gready-single-core,1,0.136055316,67.5234375,67.5234375,119,83,f77aab6c1e0ef2ed
gready-single-core,1,0.171138129,67.5625,67.5625,166,120,e96576923643e43a
gready-single-core,1,10.643483388,301.1015625,146.47935267857142,12704,123,834f196f1916139b
gready-single-core,1,0.084790819,58.96484375,58.96484375,91,84,1e55e542d465fe8d
gready-single-core,1,0.224854985,58.765625,58.765625,177,93,10fe14eb58c3c6be
gready-single-core,1,0.428637779,59.82421875,59.82421875,437,89,179dc51a48361e4a
gready-single-core,1,39.066247318,1032.2265625,419.41996173469386,32267,114,1a83e9b6b309bc57
gready-single-core,0,259.024156194,1788.953125,993.135517996109,300000,0,e109176d0fa16a7d
gready-single-core,1,27.124920293,552.8828125,205.1263427734375,33643,101,e21baf5e3d4d291f
gready-single-core,1,1.219971922,83.16015625,79.16015625,1738,119,fccc5b4e5f2461c7
gready-single-core,1,0.122622226,75.015625,75.015625,146,93,b1c11133a91ed0fd
gready-single-core,1,1.121877462,86.51953125,80.76953125,783,132,1c1e3622336d95df
gready-single-core,1,0.275906514,80.1171875,80.1171875,305,88,c521afbbe61f93d2
gready-single-core,1,18.98847987,397.97265625,222.5208899456522,40955,134,7d0a551db5167739
gready-single-core,1,0.540059304,97.3515625,97.3515625,359,108,c86f6cf61ce2e481
gready-single-core,1,0.148971153,98.71484375,98.71484375,135,87,395a99d99907cf86
gready-single-core,0,290.268663465,2217.58984375,1188.8494591346155,300000,0,8a0a4c05077c5b73
gready-single-core,1,0.22849103,97.0859375,97.0859375,293,110,23169e2113a29cab
gready-single-core,0,200.18260001,1195.15234375,652.1971669823232,300000,0,4ac721524634fccc
gready-single-core,1,23.608341479,521.80859375,231.32610452586206,44011,90,a16049f16a478823
gready-single-core,1,27.503576242,569.3203125,226.12582859848484,31105,127,928926597d178a14
gready-single-core,1,0.161477306,128.52734375,128.52734375,204,89,04fb67c4a258d8a7
